dataset,model,pretrained,train_fraction,train_size,best_val_acc,test_acc,test_top1_err,test_top5_err
cifar100,resnet50,0,1.0,45000,0.6638,0.6773,0.3227,0.0944
cifar100,resnet50,1,1.0,45000,0.8296,0.8386,0.1614,0.0296
cifar100,vit_small_patch16_224,0,1.0,45000,0.4116,0.4181,0.5819,0.2821
cifar100,vit_small_patch16_224,1,1.0,45000,0.7728,0.7726,0.22740000000000005,0.0524
